('d', 'f', 'f', (0, 0, 0, -2, 2, 2))
('d', 'f', 'f', (0, 0, 0, -1, 2, 2))
('a', 'e', 'd', (0, 0, 0, -3, -3, 2))
('d', 'a', 'a', (-1, 0, 0, 2, 1, 0))
('f', 'f', 'a', (1, 0, 0, 1, 0, -1))
('e', 'a', 'a', (-1, 0, 0, 2, 3, -2))
('e', 'a', 'a', (-1, 0, 0, 2, 3, -1))
('b', 'f', 'e', (1, 0, 0, 3, 1, 0))
('a', 'f', 'b', (1, 0, 0, 3, -2, -1))
('a', 'f', 'b', (1, 0, 0, 3, -1, -1))
('e', 'f', 'd', (-1, 0, 0, 2, -4, -3))
('c', 'e', 'f', (-1, 0, 0, 0, 3, 0))
('e', 'a', 'f', (-1, 0, 0, 0, 3, 1))
('c', 'a', 'a', (-1, 0, 0, -2, -3, 1))
('c', 'a', 'a', (-1, 0, 0, -1, -3, 1))
('e', 'c', 'd', (0, 0, 0, 1, -4, 0))
('d', 'f', 'f', (-2, 0, 0, 2, -6, -2))
('d', 'f', 'f', (-2, 0, 0, 2, -6, -1))
('f', 'f', 'e', (1, 0, 0, 1, 2, 2))
('f', 'f', 'c', (2, 0, 0, 2, 3, 1))
('b', 'e', 'a', (-1, 0, 0, -3, -4, 0))
('e', 'f', 'd', (0, 0, 0, 4, -4, 2))
('b', 'f', 'a', (-1, 0, 0, 2, -2, 1))
('b', 'f', 'a', (-1, 0, 0, 2, -1, 1))
('a', 'f', 'd', (-1, 0, 0, -3, -3, -2))
('a', 'f', 'd', (-1, 0, 0, -3, -3, -1))
('e', 'f', 'd', (1, 0, 0, 3, 5, 0))
('a', 'a', 'a', (1, 0, 0, 4, 3, 0))
('f', 'd', 'b', (0, 0, 0, -4, 0, 0))
('f', 'c', 'd', (0, 0, 0, 4, 3, 2))
